英文名,中文名,美区价格,港区价格,中文,评分,年份
7 Days to Die,七日杀,30,159,中pc,37,2013
A Memoir Blue,蓝色回忆录,8,62,中,72,2022
A Plague Tale: Innocence,瘟疫传说,40,309,中,82,2019
A Way Out,逃出生天,30,209,,81,2018
AI: THE SOMNIUM FILES,AI:梦境档案,40,239,中,78,2019
Alan Wake's American Nightmare ®,心灵杀手: 美国噩梦,10,72,,76,2012
Alice: Madness Returns,爱丽丝: 疯狂回归,20,,,70,2011
Alien: Isolation,异形:隔离,30,351,,81,2014
Aliens: Fireteam Elite,异形 火力小队,20,309,中,68,2021
Among Us,我们之中,5,39,中,80,2018
Anthem,圣歌,60,429,中,61,2019
ANVIL : Vault Breaker (Game Preview),砧骨: 跳跃破坏者,25,194,中,,2021
Aragami 2,荒神 2,40,309,中,64,2021
Archvale,阿奇维尔传说,15,114,中,81,2021
ARK: Ultimate Survivor Edition,方舟生存进化 终极生存者版,60,464,中,69,2015
Army of Two,战地双雄,15,,,72,2007
art of rally,艺术拉力赛,25,109,中,81,2020
Astria Ascending,星位继承者,40,309,中,65,2021
ASTRONEER,异星探险家,30,169,中,75,2019
Atomicrops,辐射谷物语,15,114,中,75,2020
Back 4 Blood,喋血复仇: 标准版,60,468,中,76,2021
Backbone,浣熊硬探,25,194,中,71,2021
Banjo Kazooie: N n B,阿邦阿卡大冒险: 改造大作战,15,,中,79,2010
Banjo-Kazooie,班卓熊大冒险,15,,,77,2010
Banjo-Tooie,班卓与图伊,15,,,73,2010
Bassmaster® Fishing 2022,鲈鱼大师赛 2022,40,319,中,,2021
Batman™: Arkham Knight,蝙蝠侠: 阿卡姆骑士,20,179,,86,2015
Battlefield 1943™,战地1943,10,,,83,2010
Battlefield 3™,战地3,20,,中,84,2011
Battlefield 4,战地 4,20,159,,79,2013
Battlefield Bad Company 2,战地:叛逆连队2,20,,,88,2010
Battlefield: Bad Company,战地:叛逆连队,15,,,83,2008
Battlefield™ 1 Revolution,战地1 革命,40,312,中,87,2016
Battlefield™ Hardline,战地 硬仗,20,159,,71,2015
Battletoads,忍者蛙,20,154,中,73,2020
Battlefield V,战地 5,40,318.5,中,79,2018
Before We Leave,离去之前,20,149.99,中,76,2020
Bejeweled 2,宝石迷阵2,5,109,,69,2005
Bejeweled 3,宝石迷阵3,5,109,,78,2011
Ben 10: Power Trip,少年骇客: 能量之旅！,40,309,中,68,2020
Besiege Console (Game Preview),,20,154,中,,2022
Black Desert,黑色沙漠,,,中,71,2016
Bleeding Edge,嗜血边缘,30,209,中,66,2020
BLACK™,黑煞,10,,,77,2006
BLiNX: The Time Sweeper,霹雳酷炫猫,10,,,71,2002
Bloodroots,血根,20,154,中,78,2020
Boyfriend Dungeon,男友地牢,20,154,中,73,2019
Breathedge,呼吸边缘,25,194,中,69,2021
Bridge Constructor Portal,桥梁建造师传送门,15,99,中,76,2017
Broken Age,破碎时光,15,114,,79,2015
